Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Quantity
2022,YEAR,STATE,6,4,TOTAL,377839000
2022,YEAR,STATE,36,4,TOTAL,793256000
2021,YEAR,STATE,6,4,TOTAL,374637000
2021,YEAR,STATE,36,4,TOTAL,774881000
2020,YEAR,STATE,6,4,TOTAL,354906000
2020,YEAR,STATE,36,4,TOTAL,722922000
2019,YEAR,STATE,6,4,TOTAL,373760000
2019,YEAR,STATE,36,4,TOTAL,679190000
2019,YEAR,STATE,48,4,TOTAL,37769000
2018,YEAR,STATE,6,4,TOTAL,415150000
2018,YEAR,STATE,36,4,TOTAL,691044000
2018,YEAR,STATE,41,4,TOTAL,41753000
2018,YEAR,STATE,48,4,TOTAL,31569000
2017,YEAR,STATE,6,4,TOTAL,442423000
2017,YEAR,STATE,36,4,TOTAL,706923000
2017,YEAR,STATE,41,4,TOTAL,49157000
2017,YEAR,STATE,48,4,TOTAL,34323000
2016,YEAR,STATE,6,4,TOTAL,394899000
2016,YEAR,STATE,36,4,TOTAL,676792000
2016,YEAR,STATE,41,4,TOTAL,52438000
2016,YEAR,STATE,48,4,TOTAL,50792000
2015,YEAR,STATE,6,4,TOTAL,465665000
2015,YEAR,STATE,36,4,TOTAL,669254000
2015,YEAR,STATE,41,4,TOTAL,55346000
2015,YEAR,STATE,48,4,TOTAL,94126000
2014,YEAR,STATE,6,4,TOTAL, (D)
2014,YEAR,STATE,36,4,TOTAL,663917000
2014,YEAR,STATE,41,4,TOTAL,59208000
2014,YEAR,STATE,48,4,TOTAL, (D)
2009,YEAR,STATE,6,4,TOTAL,620171000
2009,YEAR,STATE,36,4,TOTAL,251604000
2009,YEAR,STATE,47,4,TOTAL,284295000
2009,YEAR,STATE,49,4,TOTAL,244252000
2009,YEAR,STATE,55,4,TOTAL,173178000
2008,YEAR,STATE,6,4,TOTAL,581768000
2008,YEAR,STATE,36,4,TOTAL,224988000
2008,YEAR,STATE,47,4,TOTAL,258078000
2008,YEAR,STATE,49,4,TOTAL,208897000
2008,YEAR,STATE,55,4,TOTAL,162847000
2007,YEAR,STATE,6,4,TOTAL,559921000
2007,YEAR,STATE,19,4,TOTAL,21300000
2007,YEAR,STATE,36,4,TOTAL,234740000
2007,YEAR,STATE,47,4,TOTAL,193536000
2007,YEAR,STATE,49,4,TOTAL,140948000
2007,YEAR,STATE,55,4,TOTAL,147282000
2006,YEAR,STATE,6,4,TOTAL,543345000
2006,YEAR,STATE,19,4,TOTAL,25520000
2006,YEAR,STATE,36,4,TOTAL,236987000
2006,YEAR,STATE,47,4,TOTAL,155331000
2006,YEAR,STATE,49,4,TOTAL,163713000
2006,YEAR,STATE,55,4,TOTAL,144534000
2005,YEAR,STATE,6,4,TOTAL,511990000
2005,YEAR,STATE,19,4,TOTAL,17412000
2005,YEAR,STATE,36,4,TOTAL,232307000
2005,YEAR,STATE,42,4,TOTAL,931000
2005,YEAR,STATE,47,4,TOTAL,99595000
2005,YEAR,STATE,49,4,TOTAL,171509000
2005,YEAR,STATE,55,4,TOTAL,124974000
2004,YEAR,STATE,6,4,TOTAL,454302000
2004,YEAR,STATE,19,4,TOTAL,13984000
2004,YEAR,STATE,36,4,TOTAL,227795000
2004,YEAR,STATE,42,4,TOTAL,807000
2004,YEAR,STATE,47,4,TOTAL,38949000
2004,YEAR,STATE,49,4,TOTAL,165503000
2004,YEAR,STATE,55,4,TOTAL,98012000
2003,YEAR,STATE,6,4,TOTAL,479226000
2003,YEAR,STATE,19,4,TOTAL,13847000
2003,YEAR,STATE,36,4,TOTAL,261740000
2003,YEAR,STATE,42,4,TOTAL,687000
2003,YEAR,STATE,49,4,TOTAL,122209000
2003,YEAR,STATE,55,4,TOTAL,81460000
2002,YEAR,STATE,6,4,TOTAL,454483000
2002,YEAR,STATE,17,4,TOTAL,14392000
2002,YEAR,STATE,19,4,TOTAL,12875000
2002,YEAR,STATE,36,4,TOTAL,247221000
2002,YEAR,STATE,55,4,TOTAL,71461000
2001,YEAR,STATE,6,4,TOTAL,264304000
2001,YEAR,STATE,17,4,TOTAL,12773000
2001,YEAR,STATE,36,4,TOTAL,252631000
2001,YEAR,STATE,55,4,TOTAL,77451000
2000,YEAR,STATE,6,4,TOTAL,257211000
2000,YEAR,STATE,17,4,TOTAL,11653000
2000,YEAR,STATE,36,4,TOTAL,247232000
2000,YEAR,STATE,55,4,TOTAL,77348000
1999,YEAR,STATE,6,4,TOTAL,238110000
1999,YEAR,STATE,17,4,TOTAL,10513000
1999,YEAR,STATE,36,4,TOTAL,250084000
1999,YEAR,STATE,55,4,TOTAL,66591000
1998,YEAR,STATE,6,4,TOTAL,200363000
1998,YEAR,STATE,17,4,TOTAL,16593000
1998,YEAR,STATE,36,4,TOTAL,233126000
1998,YEAR,STATE,38,4,TOTAL,23000
1998,YEAR,STATE,55,4,TOTAL,63274000
1997,YEAR,STATE,6,4,TOTAL,189561000
1997,YEAR,STATE,17,4,TOTAL,13903000
1997,YEAR,STATE,36,4,TOTAL,203204000
1997,YEAR,STATE,38,4,TOTAL,28000
1997,YEAR,STATE,47,4,TOTAL,405000
1996,YEAR,STATE,6,4,TOTAL,196778000
1996,YEAR,STATE,17,4,TOTAL,15349000
1996,YEAR,STATE,36,4,TOTAL,208513000
1996,YEAR,STATE,38,4,TOTAL,28000
1996,YEAR,STATE,55,4,TOTAL,31776000
1995,YEAR,STATE,6,4,TOTAL,251651000
1995,YEAR,STATE,8,4,TOTAL,25229000
1995,YEAR,STATE,17,4,TOTAL,18575000
1995,YEAR,STATE,36,4,TOTAL,231805000
1995,YEAR,STATE,38,4,TOTAL,26000
1995,YEAR,STATE,47,4,TOTAL,169000
1995,YEAR,STATE,55,4,TOTAL,25855000
1994,YEAR,STATE,6,4,TOTAL,286766000
1994,YEAR,STATE,8,4,TOTAL,28701000
1994,YEAR,STATE,17,4,TOTAL,18305000
1994,YEAR,STATE,36,4,TOTAL,229680000
1994,YEAR,STATE,37,4,TOTAL,4010000
1994,YEAR,STATE,38,4,TOTAL,28000
1994,YEAR,STATE,55,4,TOTAL,21476000
1993,YEAR,STATE,6,4,TOTAL,284944000
1993,YEAR,STATE,8,4,TOTAL,27097000
1993,YEAR,STATE,17,4,TOTAL,15267000
1993,YEAR,STATE,36,4,TOTAL,207202000
1993,YEAR,STATE,37,4,TOTAL,4697000
1993,YEAR,STATE,38,4,TOTAL,25000
1993,YEAR,STATE,48,4,TOTAL,31071000
1993,YEAR,STATE,55,4,TOTAL,21246000
1992,YEAR,STATE,6,4,TOTAL,237695000
1992,YEAR,STATE,8,4,TOTAL,27572000
1992,YEAR,STATE,12,4,TOTAL,8349000
1992,YEAR,STATE,17,4,TOTAL,15899000
1992,YEAR,STATE,26,4,TOTAL,105402000
1992,YEAR,STATE,36,4,TOTAL,200787000
1992,YEAR,STATE,37,4,TOTAL,3969000
1992,YEAR,STATE,48,4,TOTAL,29239000
1991,YEAR,STATE,6,4,TOTAL,232764000
1991,YEAR,STATE,12,4,TOTAL,9500000
1991,YEAR,STATE,17,4,TOTAL,11520000
1991,YEAR,STATE,19,4,TOTAL,7753000
1991,YEAR,STATE,36,4,TOTAL,185518000
1991,YEAR,STATE,37,4,TOTAL,3176000
1991,YEAR,STATE,42,4,TOTAL,3859000
1991,YEAR,STATE,48,4,TOTAL,24829000
1991,YEAR,STATE,55,4,TOTAL,11821000
1990,YEAR,STATE,6,4,TOTAL,233748000
1990,YEAR,STATE,17,4,TOTAL,10900000
1990,YEAR,STATE,19,4,TOTAL,11058000
1990,YEAR,STATE,36,4,TOTAL,189012000
1990,YEAR,STATE,37,4,TOTAL,2545000
1990,YEAR,STATE,48,4,TOTAL,18988000
1990,YEAR,STATE,55,4,TOTAL,10868000
